Airline	Date_of_Journey	Source	Destination	Route	Dep_Time	Arrival_Time	Duration	Total_Stops	Additional_Info	Price
IndiGo	24/03/2019	Banglore	New Delhi	BLR → DEL	22:20	01:10 22 Mar	2h 50m	non-stop	No info	3897
Air India	1/05/2019	Kolkata	Banglore	CCU → IXR → BBI → BLR	05:50	13:15	7h 25m	2 stops	No info	7662
Jet Airways	9/06/2019	Delhi	Cochin	DEL → LKO → BOM → COK	09:25	04:25 10 Jun	19h	2 stops	No info	13882
IndiGo	12/05/2019	Kolkata	Banglore	CCU → NAG → BLR	18:05	23:30	5h 25m	1 stop	No info	6218
IndiGo	01/03/2019	Banglore	New Delhi	BLR → NAG → DEL	16:50	21:35	4h 45m	1 stop	No info	13302
SpiceJet	24/06/2019	Kolkata	Banglore	CCU → BLR	09:00	11:25	2h 25m	non-stop	No info	3873
Jet Airways	12/03/2019	Banglore	New Delhi	BLR → BOM → DEL	18:55	10:25 13 Mar	15h 30m	1 stop	In-flight meal not included	11087
Jet Airways	01/03/2019	Banglore	New Delhi	BLR → BOM → DEL	08:00	05:05 02 Mar	21h 5m	1 stop	No info	22270
Jet Airways	12/03/2019	Banglore	New Delhi	BLR → BOM → DEL	08:55	10:25 13 Mar	25h 30m	1 stop	In-flight meal not included	11087
Multiple carriers	27/05/2019	Delhi	Cochin	DEL → BOM → COK	11:25	19:15	7h 50m	1 stop	No info	8625
Air India	1/06/2019	Delhi	Cochin	DEL → BLR → COK	09:45	23:00	13h 15m	1 stop	No info	8907
IndiGo	18/04/2019	Kolkata	Banglore	CCU → BLR	20:20	22:55	2h 35m	non-stop	No info	4174
Air India	24/06/2019	Chennai	Kolkata	MAA → CCU	11:40	13:55	2h 15m	non-stop	No info	4667
Jet Airways	9/05/2019	Kolkata	Banglore	CCU → BOM → BLR	21:10	09:20 10 May	12h 10m	1 stop	In-flight meal not included	9663
IndiGo	24/04/2019	Kolkata	Banglore	CCU → BLR	17:15	19:50	2h 35m	non-stop	No info	4804
Air India	3/03/2019	Delhi	Cochin	DEL → AMD → BOM → COK	16:40	19:15 04 Mar	26h 35m	2 stops	No info	14011
SpiceJet	15/04/2019	Delhi	Cochin	DEL → PNQ → COK	08:45	13:15	4h 30m	1 stop	No info	5830
Jet Airways	12/06/2019	Delhi	Cochin	DEL → BOM → COK	14:00	12:35 13 Jun	22h 35m	1 stop	In-flight meal not included	10262
Air India	12/06/2019	Delhi	Cochin	DEL → CCU → BOM → COK	20:15	19:15 13 Jun	23h	2 stops	No info	13381
Jet Airways	27/05/2019	Delhi	Cochin	DEL → BOM → COK	16:00	12:35 28 May	20h 35m	1 stop	In-flight meal not included	12898
GoAir	6/03/2019	Delhi	Cochin	DEL → BOM → COK	14:10	19:20	5h 10m	1 stop	No info	19495
Air India	21/03/2019	Banglore	New Delhi	BLR → COK → DEL	22:00	13:20 19 Mar	15h 20m	1 stop	No info	6955
IndiGo	3/04/2019	Banglore	Delhi	BLR → DEL	04:00	06:50	2h 50m	non-stop	No info	3943
IndiGo	1/05/2019	Banglore	Delhi	BLR → DEL	18:55	21:50	2h 55m	non-stop	No info	4823
Jet Airways	6/05/2019	Kolkata	Banglore	CCU → BOM → BLR	18:55	08:15 07 May	13h 20m	1 stop	In-flight meal not included	7757
Jet Airways	9/06/2019	Delhi	Cochin	DEL → IDR → BOM → COK	21:25	12:35 10 Jun	15h 10m	2 stops	No info	13292
IndiGo	1/06/2019	Delhi	Cochin	DEL → LKO → COK	21:50	03:35 02 Jun	5h 45m	1 stop	No info	8238
GoAir	15/05/2019	Delhi	Cochin	DEL → BOM → COK	07:00	12:55	5h 55m	1 stop	No info	7682
Vistara	18/06/2019	Banglore	Delhi	BLR → DEL	09:45	12:35	2h 50m	non-stop	No info	4668
Vistara	15/06/2019	Chennai	Kolkata	MAA → CCU	07:05	09:20	2h 15m	non-stop	No info	3687
Vistara	18/06/2019	Chennai	Kolkata	MAA → CCU	07:05	09:20	2h 15m	non-stop	No info	3687
Air India	1/05/2019	Kolkata	Banglore	CCU → GAU → DEL → BLR	09:50	23:15	13h 25m	2 stops	No info	13227
IndiGo	6/04/2019	Banglore	Delhi	BLR → DEL	04:00	06:50	2h 50m	non-stop	No info	4423
Jet Airways	15/06/2019	Delhi	Cochin	DEL → NAG → BOM → COK	14:35	12:35 16 Jun	22h	2 stops	In-flight meal not included	10919
Jet Airways	18/05/2019	Delhi	Cochin	DEL → BOM → COK	07:05	12:35	5h 30m	1 stop	In-flight meal not included	12373
IndiGo	27/06/2019	Delhi	Cochin	DEL → BOM → COK	10:35	21:00	10h 25m	1 stop	No info	5894
SpiceJet	21/05/2019	Kolkata	Banglore	CCU → MAA → BLR	15:05	20:20	5h 15m	1 stop	No info	4649
Air India	18/05/2019	Kolkata	Banglore	CCU → BLR	14:15	16:45	2h 30m	non-stop	No info	6245
Jet Airways	06/03/2019	Banglore	New Delhi	BLR → BOM → DEL	07:00	13:15	6h 15m	1 stop	No info	19225
Jet Airways	3/06/2019	Delhi	Cochin	DEL → BOM → COK	07:05	19:00	11h 55m	1 stop	No info	14924
Multiple carriers	21/05/2019	Delhi	Cochin	DEL → HYD → COK	07:05	18:10	11h 5m	1 stop	No info	9646
Air India	15/03/2019	Banglore	New Delhi	BLR → BOM → DEL	06:45	15:15	8h 30m	1 stop	No info	8714
Jet Airways	18/05/2019	Delhi	Cochin	DEL → BOM → COK	20:55	19:00 19 May	22h 5m	1 stop	In-flight meal not included	12373
Air Asia	6/05/2019	Banglore	Delhi	BLR → DEL	11:10	13:55	2h 45m	non-stop	No info	3383
Multiple carriers	21/03/2019	Delhi	Cochin	DEL → BOM → COK	09:00	21:00	12h	1 stop	No info	13062
SpiceJet	24/03/2019	Banglore	New Delhi	BLR → DEL	05:45	08:35	2h 50m	non-stop	No check-in baggage included	3527
IndiGo	27/05/2019	Banglore	Delhi	BLR → DEL	04:00	06:50	2h 50m	non-stop	No info	3943
Air India	3/05/2019	Chennai	Kolkata	MAA → CCU	11:40	13:55	2h 15m	non-stop	No info	4667
Air India	15/05/2019	Kolkata	Banglore	CCU → HYD → BLR	19:00	11:05 16 May	16h 5m	1 stop	No info	6117
Jet Airways	27/06/2019	Delhi	Cochin	DEL → AMD → BOM → COK	23:05	19:00 28 Jun	19h 55m	2 stops	In-flight meal not included	11150
Jet Airways	9/03/2019	Delhi	Cochin	DEL → COK	11:00	14:15	3h 15m	non-stop	In-flight meal not included	7202
Jet Airways	1/05/2019	Kolkata	Banglore	CCU → DEL → BLR	09:35	10:55 02 May	25h 20m	1 stop	No info	12121
IndiGo	24/03/2019	Banglore	New Delhi	BLR → DEL	22:20	01:10 28 Mar	2h 50m	non-stop	No info	4377
IndiGo	18/06/2019	Banglore	Delhi	BLR → DEL	21:15	00:15 19 Jun	3h	non-stop	No info	3943
Air Asia	3/04/2019	Banglore	Delhi	BLR → DEL	23:55	02:45 04 Apr	2h 50m	non-stop	No info	4483
Jet Airways	24/03/2019	Kolkata	Banglore	CCU → BOM → BLR	19:45	12:00 25 Mar	16h 15m	1 stop	No info	14231
Air India	01/03/2019	Banglore	New Delhi	BLR → BOM → AMD → DEL	08:50	23:55	15h 5m	2 stops	No info	17345
Vistara	6/03/2019	Chennai	Kolkata	MAA → CCU	07:05	09:20	2h 15m	non-stop	No info	7414
Multiple carriers	6/05/2019	Delhi	Cochin	DEL → BOM → COK	19:00	01:30 07 May	6h 30m	1 stop	No info	8073
Vistara	6/03/2019	Mumbai	Hyderabad	BOM → DEL → HYD	15:40	16:45 07 Mar	25h 5m	1 stop	No info	12395
Air India	6/06/2019	Kolkata	Banglore	CCU → BOM → BLR	09:25	21:50	12h 25m	1 stop	No info	8366
Air India	3/04/2019	Delhi	Cochin	DEL → MAA → COK	06:05	09:25 04 Apr	27h 20m	1 stop	No info	5117
Multiple carriers	3/06/2019	Delhi	Cochin	DEL → BOM → COK	08:45	19:00	10h 15m	1 stop	No info	12524
IndiGo	15/05/2019	Delhi	Cochin	DEL → BOM → COK	15:00	01:30 16 May	10h 30m	1 stop	No info	7191
Vistara	24/05/2019	Chennai	Kolkata	MAA → CCU	07:05	09:20	2h 15m	non-stop	No info	3687
IndiGo	24/06/2019	Delhi	Cochin	DEL → BOM → COK	10:35	21:00	10h 25m	1 stop	No info	5894
Vistara	24/04/2019	Banglore	Delhi	BLR → DEL	09:45	12:35	2h 50m	non-stop	No info	5403
Air India	6/05/2019	Mumbai	Hyderabad	BOM → HYD	13:55	15:25	1h 30m	non-stop	No info	3625
Air India	21/05/2019	Delhi	Cochin	DEL → BHO → BOM → COK	05:55	19:15	13h 20m	2 stops	No info	10861
IndiGo	12/03/2019	Chennai	Kolkata	MAA → CCU	13:20	15:35	2h 15m	non-stop	No info	6297
Jet Airways	1/06/2019	Mumbai	Hyderabad	BOM → HYD	07:05	08:30	1h 25m	non-stop	No info	5678
Jet Airways	09/03/2019	Banglore	New Delhi	BLR → BOM → DEL	05:45	08:15 13 Mar	26h 30m	1 stop	In-flight meal not included	9134
Multiple carriers	24/06/2019	Delhi	Cochin	DEL → BOM → COK	11:40	19:00	7h 20m	1 stop	In-flight meal not included	10791
Jet Airways	24/06/2019	Delhi	Cochin	DEL → AMD → BOM → COK	23:05	12:35 25 Jun	13h 30m	2 stops	No info	12819
IndiGo	21/03/2019	Delhi	Cochin	DEL → BLR → COK	05:05	10:05	5h	1 stop	No info	6893
Vistara	09/03/2019	Banglore	New Delhi	BLR → DEL	09:50	12:35	2h 45m	non-stop	No info	7240
GoAir	3/04/2019	Banglore	Delhi	BLR → DEL	11:40	14:30	2h 50m	non-stop	No info	3898
IndiGo	3/04/2019	Mumbai	Hyderabad	BOM → HYD	06:25	07:55	1h 30m	non-stop	No info	4049
Jet Airways	15/06/2019	Delhi	Cochin	DEL → BOM → COK	17:30	12:35 16 Jun	19h 5m	1 stop	In-flight meal not included	10262
SpiceJet	21/03/2019	Chennai	Kolkata	MAA → CCU	08:20	10:35	2h 15m	non-stop	No check-in baggage included	3332
Jet Airways	9/06/2019	Kolkata	Banglore	CCU → BOM → BLR	21:10	12:00 10 Jun	14h 50m	1 stop	In-flight meal not included	10844
Jet Airways	24/03/2019	Banglore	New Delhi	BLR → DEL	19:55	22:35	2h 40m	non-stop	No info	7229
Jet Airways	6/05/2019	Kolkata	Banglore	CCU → BOM → BLR	06:30	04:40 07 May	22h 10m	1 stop	No info	13941
IndiGo	27/06/2019	Delhi	Cochin	DEL → BOM → COK	11:25	21:00	9h 35m	1 stop	No info	5894
Multiple carriers	18/05/2019	Delhi	Cochin	DEL → BOM → COK	09:00	19:00	10h	1 stop	No info	10197
Jet Airways	06/03/2019	Banglore	New Delhi	BLR → BOM → DEL	14:05	11:25 07 Mar	21h 20m	1 stop	In-flight meal not included	13712
IndiGo	24/06/2019	Delhi	Cochin	DEL → MAA → COK	02:00	07:25	5h 25m	1 stop	No info	5636
Jet Airways	6/06/2019	Delhi	Cochin	DEL → JAI → BOM → COK	09:40	04:25 07 Jun	18h 45m	2 stops	No info	13014
Jet Airways	1/04/2019	Kolkata	Banglore	CCU → BOM → BLR	08:25	20:45	12h 20m	1 stop	In-flight meal not included	7064
Jet Airways	24/05/2019	Kolkata	Banglore	CCU → DEL → BLR	20:25	14:25 25 May	18h	1 stop	In-flight meal not included	10703
Multiple carriers	27/05/2019	Delhi	Cochin	DEL → HYD → COK	13:15	22:30	9h 15m	1 stop	No info	9646
Multiple carriers	6/03/2019	Delhi	Cochin	DEL → BOM → COK	02:15	13:20	11h 5m	1 stop	No info	17057
Jet Airways	12/03/2019	Banglore	New Delhi	BLR → BOM → DEL	16:55	10:25 13 Mar	17h 30m	1 stop	No info	13817
Air India	6/03/2019	Delhi	Cochin	DEL → BHO → BOM → COK	05:55	19:15	13h 20m	2 stops	No info	13748
Air India	21/04/2019	Kolkata	Banglore	CCU → BLR	20:45	23:20	2h 35m	non-stop	No info	4880
IndiGo	21/06/2019	Chennai	Kolkata	MAA → CCU	05:15	07:40	2h 25m	non-stop	No info	3540
SpiceJet	15/05/2019	Banglore	Delhi	BLR → DEL	05:55	08:35	2h 40m	non-stop	No check-in baggage included	3257
Jet Airways	3/06/2019	Banglore	Delhi	BLR → DEL	19:50	22:50	3h	non-stop	In-flight meal not included	6478
Jet Airways	18/06/2019	Mumbai	Hyderabad	BOM → HYD	07:05	08:30	1h 25m	non-stop	No info	8040
Jet Airways	12/06/2019	Delhi	Cochin	DEL → ATQ → BOM → COK	20:00	12:35 13 Jun	16h 35m	2 stops	No info	14300
Jet Airways	15/05/2019	Kolkata	Banglore	CCU → BOM → BLR	08:25	20:45	12h 20m	1 stop	No info	14781
Jet Airways	9/06/2019	Kolkata	Banglore	CCU → BOM → BLR	20:00	08:15 10 Jun	12h 15m	1 stop	No info	14939
Jet Airways	24/06/2019	Delhi	Cochin	DEL → BOM → COK	20:55	04:25 25 Jun	7h 30m	1 stop	In-flight meal not included	10262
Air India	12/05/2019	Kolkata	Banglore	CCU → MAA → BLR	14:35	14:35 13 May	24h	1 stop	No info	6528
Air India	1/05/2019	Banglore	Delhi	BLR → DEL	06:10	08:55	2h 45m	non-stop	No info	6121
Jet Airways	18/05/2019	Delhi	Cochin	DEL → JAI → BOM → COK	19:30	04:25 19 May	8h 55m	2 stops	In-flight meal not included	13029
Multiple carriers	27/03/2019	Delhi	Cochin	DEL → BOM → COK	11:40	18:50	7h 10m	1 stop	No info	11421
Multiple carriers	27/03/2019	Delhi	Cochin	DEL → BOM → COK	04:45	19:15	14h 30m	1 stop	No info	7574
Air India	9/05/2019	Delhi	Cochin	DEL → JDH → BOM → COK	12:55	19:15 10 May	30h 20m	2 stops	No info	11596
Jet Airways	24/05/2019	Delhi	Cochin	DEL → AMD → BOM → COK	23:05	19:00 25 May	19h 55m	2 stops	No info	15129
Jet Airways	18/03/2019	Banglore	New Delhi	BLR → BOM → DEL	14:05	05:05 16 Mar	15h	1 stop	No info	13555
IndiGo	12/04/2019	Banglore	Delhi	BLR → DEL	18:55	21:50	2h 55m	non-stop	No info	5780
Vistara	12/05/2019	Kolkata	Banglore	CCU → DEL → BLR	20:20	09:05 13 May	12h 45m	1 stop	No info	9397
Jet Airways	6/03/2019	Delhi	Cochin	DEL → BOM → COK	18:15	04:25 07 Mar	10h 10m	1 stop	No info	17024
GoAir	27/06/2019	Delhi	Cochin	DEL → BOM → COK	07:00	12:55	5h 55m	1 stop	No info	5281
Multiple carriers	18/05/2019	Delhi	Cochin	DEL → HYD → COK	07:05	22:30	15h 25m	1 stop	No info	10348
Air India	6/03/2019	Delhi	Cochin	DEL → MAA → COK	17:20	09:25 07 Mar	16h 5m	1 stop	No info	12677
Multiple carriers	3/03/2019	Delhi	Cochin	DEL → BOM → COK	15:25	01:35 04 Mar	10h 10m	1 stop	No info	15147
Vistara	12/06/2019	Banglore	Delhi	BLR → DEL	07:00	09:40	2h 40m	non-stop	No info	4668
Jet Airways	9/05/2019	Delhi	Cochin	DEL → BOM → COK	07:05	19:00	11h 55m	1 stop	No info	15554
SpiceJet	9/04/2019	Banglore	Delhi	BLR → DEL	05:55	08:35	2h 40m	non-stop	No info	3971
Air India	3/05/2019	Mumbai	Hyderabad	BOM → HYD	15:00	16:25	1h 25m	non-stop	No info	3100
Jet Airways	6/05/2019	Kolkata	Banglore	CCU → BOM → BLR	20:00	10:05 07 May	14h 5m	1 stop	In-flight meal not included	9663
Air India	1/03/2019	Delhi	Cochin	DEL → BOM → COK	23:00	19:15 02 Mar	20h 15m	1 stop	No info	27430
IndiGo	12/05/2019	Chennai	Kolkata	MAA → CCU	05:15	07:40	2h 25m	non-stop	No info	3540
Air India	21/05/2019	Kolkata	Banglore	CCU → BBI → BOM → BLR	12:00	11:10 22 May	23h 10m	2 stops	No info	10676
Jet Airways	12/06/2019	Kolkata	Banglore	CCU → BOM → BLR	14:05	08:15 13 Jun	18h 10m	1 stop	No info	13044
Jet Airways	6/05/2019	Kolkata	Banglore	CCU → BOM → BLR	20:00	12:00 07 May	16h	1 stop	No info	14388
IndiGo	24/06/2019	Banglore	Delhi	BLR → DEL	04:00	06:50	2h 50m	non-stop	No info	3943
IndiGo	3/06/2019	Chennai	Kolkata	MAA → CCU	14:45	17:05	2h 20m	non-stop	No info	3597
Air India	21/03/2019	Banglore	New Delhi	BLR → MAA → DEL	11:50	19:50	8h	1 stop	No info	5932
Jet Airways	15/06/2019	Delhi	Cochin	DEL → BOM → COK	11:30	04:25 16 Jun	16h 55m	1 stop	In-flight meal not included	10262
Vistara	12/05/2019	Delhi	Cochin	DEL → COK	14:40	17:50	3h 10m	non-stop	No info	6216
IndiGo	15/06/2019	Kolkata	Banglore	CCU → BLR	20:25	23:10	2h 45m	non-stop	No info	4804
Multiple carriers	21/05/2019	Delhi	Cochin	DEL → BOM → COK	11:30	01:30 22 May	14h	1 stop	No info	14067
Jet Airways	18/05/2019	Delhi	Cochin	DEL → AMD → BOM → COK	19:10	19:00 19 May	23h 50m	2 stops	No info	15129
Jet Airways	6/06/2019	Delhi	Cochin	DEL → NAG → BOM → COK	06:45	04:25 07 Jun	21h 40m	2 stops	No info	13376
Air India	27/06/2019	Delhi	Cochin	DEL → GOI → BOM → COK	22:00	19:15 28 Jun	21h 15m	2 stops	No info	10441
Jet Airways	24/05/2019	Banglore	Delhi	BLR → DEL	06:00	08:45	2h 45m	non-stop	In-flight meal not included	4030
