Date,Text,Link
2020-01-23 11:37,Architectural Designer,https://newyork.craigslist.org/brk/egr/d/brooklyn-architectural-designer/7061525634.html
2020-01-23 08:55,Architectural Senior Drafter/Job Captain,https://newyork.craigslist.org/mnh/egr/d/new-york-architectural-senior-drafter/7061419406.html
2020-01-22 18:34,HVAC Design Engineer with 5 Years Design Experience in US,https://newyork.craigslist.org/mnh/egr/d/new-york-hvac-design-engineer-with-5/7061199900.html
2020-01-22 18:05,Senior Project Manager,https://newyork.craigslist.org/mnh/egr/d/new-york-senior-project-manager/7061182401.html
2020-01-22 16:42,"Construction PM's, Supers, & Estimators needed....NYC",https://newyork.craigslist.org/mnh/egr/d/new-york-construction-pms-supers/7061126782.html
2020-01-22 16:06,Architect Administrator,https://newyork.craigslist.org/mnh/egr/d/new-york-architect-administrator/7061101880.html
2020-01-22 13:53,Cad Drafter - Architectural/Engineering background,https://newyork.craigslist.org/mnh/egr/d/cad-drafter-architectural-engineering/7060999419.html
2020-01-22 12:48,Architectural Draftsman AutoCAD,https://newyork.craigslist.org/mnh/egr/d/new-york-architectural-draftsman-autocad/7060945815.html
2020-01-21 18:16,Estimator,https://newyork.craigslist.org/que/egr/d/estimator/7060542538.html
2020-01-21 18:12,"Draftsman, Assistant Project Manager",https://newyork.craigslist.org/que/egr/d/draftsman-assistant-project-manager/7060540255.html
2020-01-21 18:11,Project Manager,https://newyork.craigslist.org/que/egr/d/project-manager/7060539697.html
2020-01-21 11:39,Project Architect,https://newyork.craigslist.org/mnh/egr/d/new-york-project-architect/7060234870.html
2020-01-21 11:32,Entry-Level Junior Estimator,https://newyork.craigslist.org/mnh/egr/d/new-york-entry-level-junior-estimator/7060229417.html
2020-01-20 15:54,Concrete Safety Manager,https://newyork.craigslist.org/mnh/egr/d/new-york-concrete-safety-manager/7059780845.html
2020-01-20 15:42,Assistant Estimator,https://newyork.craigslist.org/mnh/egr/d/new-york-assistant-estimator/7059770895.html
2020-01-20 15:40,Surveyor layout,https://newyork.craigslist.org/mnh/egr/d/new-york-surveyor-layout/7059769762.html
2020-01-20 14:41,Revit Operator - Part or Full Time,https://newyork.craigslist.org/mnh/egr/d/new-york-revit-operator-part-or-full/7059720832.html
2020-01-20 14:28,Project Architect,https://newyork.craigslist.org/que/egr/d/floral-park-project-architect/7059709686.html
2020-01-20 13:39,Project Manager/ Drafter,https://newyork.craigslist.org/brx/egr/d/bronx-project-manager-drafter/7059667375.html
2020-01-20 12:37,Electrical Estimator,https://newyork.craigslist.org/stn/egr/d/staten-island-electrical-estimator/7059611716.html
2020-01-20 12:04,Architectural Services_NYC DOB Commercial Filing set,https://newyork.craigslist.org/mnh/egr/d/new-york-architectural-servicesnyc-dob/7059580986.html
2020-01-20 11:45,Architect-Construction Administration-Revit | Multi Family Residential,https://newyork.craigslist.org/mnh/egr/d/new-york-architect-construction/7059565287.html
2020-01-20 11:06,Project Architect(s),https://newyork.craigslist.org/que/egr/d/project-architects/7059531617.html
2020-01-20 08:39,Junior Architect/ Intern,https://newyork.craigslist.org/mnh/egr/d/new-york-junior-architect-intern/7059436981.html
2020-01-20 01:20,Midsize Architectural firm seeks Graduates,https://newyork.craigslist.org/que/egr/d/flushing-midsize-architectural-firm/7059372984.html
2020-01-19 21:36,Millwork Engineer / CNC Programmer,https://newyork.craigslist.org/brk/egr/d/brooklyn-millwork-engineer-cnc/7059316143.html
2020-01-19 20:44,Millwork Estimator,https://newyork.craigslist.org/brk/egr/d/brooklyn-millwork-estimator/7059296582.html
2020-01-19 17:12,SPANISH SPEAKING NAIL STYLIST NEEDED  (MANICURES&PEDICURES),https://newyork.craigslist.org/mnh/egr/d/new-york-city-spanish-speaking-nail/7059197113.html
2020-01-18 12:07,Drafter/Estimator Experienced in steel fabrication,https://newyork.craigslist.org/que/egr/d/flushing-drafter-estimator-experienced/7058453556.html
2020-01-18 08:31,Top Architectural Metal  + Glass Company looking for drafter/engineer!,https://newyork.craigslist.org/que/egr/d/woodside-top-architectural-metal-glass/7058321558.html
2020-01-17 21:54,Construction Plans Estimator,https://newyork.craigslist.org/fct/egr/d/stamford-construction-plans-estimator/7058209698.html
2020-01-17 17:30,Facade / Building Envelope Architect or Engineer,https://newyork.craigslist.org/mnh/egr/d/facade-building-envelope-architect-or/7058077980.html
2020-01-17 17:22,Facade / Building Envelope Project Manager,https://newyork.craigslist.org/mnh/egr/d/facade-building-envelope-project-manager/7058072439.html
2020-01-17 17:08,Project Manager Assistant  / Office Manager Assistant,https://newyork.craigslist.org/brk/egr/d/brooklyn-project-manager-assistant/7058063076.html
2020-01-17 17:04,In-house Interior Designer,https://newyork.craigslist.org/mnh/egr/d/new-york-in-house-interior-designer/7058060220.html
2020-01-17 17:01,Interior Designer,https://newyork.craigslist.org/mnh/egr/d/new-york-interior-designer/7058057923.html
2020-01-17 16:57,High End Kitchen Designer,https://newyork.craigslist.org/mnh/egr/d/new-york-high-end-kitchen-designer/7058054892.html
2020-01-17 15:48,Superintendent - Construction,https://newyork.craigslist.org/brk/egr/d/brooklyn-superintendent-construction/7058003819.html
2020-01-17 15:23,Electrical Engineer,https://newyork.craigslist.org/mnh/egr/d/new-york-electrical-engineer/7057984592.html
2020-01-17 15:12,Engineer - Architect - Inspector,https://newyork.craigslist.org/mnh/egr/d/new-york-engineer-architect-inspector/7057976104.html
2020-01-17 14:52,"Architect, Intermediate",https://newyork.craigslist.org/mnh/egr/d/new-york-architect-intermediate/7057960292.html
2020-01-17 14:25,Construction Estimator,https://newyork.craigslist.org/que/egr/d/construction-estimator/7057938072.html
