city,census,rank,state,estimate,change
New York,"8,175,133",1,New York,"8,398,748",+2.74%
Los Angeles,"3,792,621",2,California,"3,990,456",+5.22%
Chicago,"2,695,598",3,Illinois,"2,705,994",+0.39%
Houston,"2,100,263",4,Texas,"2,325,502",+10.72%
Phoenix,"1,445,632",5,Arizona,"1,660,272",+14.85%
Philadelphia,"1,526,006",6,Pennsylvania,"1,584,138",+3.81%
San Antonio,"1,327,407",7,"Texas
","1,532,233",+15.43%
San Diego,"1,307,402",8,"California
","1,425,976",+9.07%
Dallas,"1,197,816",9,"Texas
","1,345,047",+12.29%
San Jose,"945,942",10,"California
","1,030,119",+8.90%
Austin,"790,390",11,"Texas
","964,254",+22.00%
Jacksonville,"821,784",12,Florida,"903,889",+9.99%
Fort Worth,"741,206",13,"Texas
","895,008",+20.75%
Columbus,"787,033",14,Ohio,"892,533",+13.40%
San Francisco,"805,235",15,"California
","883,305",+9.70%
Charlotte,"731,424",16,North Carolina,"872,498",+19.29%
Indianapolis,"820,445",17,Indiana,"867,125",+5.69%
Seattle,"608,660",18,Washington,"744,955",+22.39%
Denver,"600,158",19,Colorado,"716,492",+19.38%
Washington,"601,723",20,District of Columbia,"702,455",+16.74%
Boston,"617,594",21,Massachusetts,"694,583",+12.47%
El Paso,"649,121",22,"Texas
","682,669",+5.17%
Detroit,"713,777",23,Michigan,"672,662",−5.76%
Nashville,"601,222",24,Tennessee,"669,053",+11.28%
Portland,"583,776",25,Oregon,"653,115",+11.88%
Memphis,"646,889",26,"Tennessee
","650,618",+0.58%
Oklahoma City,"579,999",27,Oklahoma,"649,021",+11.90%
Las Vegas,"583,756",28,Nevada,"644,644",+10.43%
Louisville,"597,337",29,Kentucky,"620,118",+3.81%
Baltimore,"620,961",30,Maryland,"602,495",−2.97%
Milwaukee,"594,833",31,Wisconsin,"592,025",−0.47%
Albuquerque,"545,852",32,New Mexico,"560,218",+2.63%
Tucson,"520,116",33,"Arizona
","545,975",+4.97%
Fresno,"494,665",34,"California
","530,093",+7.16%
Mesa,"439,041",35,"Arizona
","508,958",+15.92%
Sacramento,"466,488",36,"California
","508,529",+9.01%
Atlanta,"420,003",37,Georgia,"498,044",+18.58%
Kansas City,"459,787",38,Missouri,"491,918",+6.99%
Colorado Springs,"416,427",39,"Colorado
","472,688",+13.51%
Miami,"399,457",40,"Florida
","470,914",+17.89%
Raleigh,"403,892",41,"North Carolina
","469,298",+16.19%
Omaha,"408,958",42,Nebraska,"468,262",+14.50%
Long Beach,"462,257",43,"California
","467,354",+1.10%
Virginia Beach,"437,994",44,Virginia,"450,189",+2.78%
Oakland,"390,724",45,"California
","429,082",+9.82%
Minneapolis,"382,578",46,Minnesota,"425,403",+11.19%
Tulsa,"391,906",47,"Oklahoma
","400,669",+2.24%
Arlington,"365,438",48,"Texas
","398,112",+8.94%
Tampa,"335,709",49,"Florida
","392,890",+17.03%
New Orleans,"343,829",50,Louisiana,"391,006",+13.72%
Wichita,"382,368",51,Kansas,"389,255",+1.80%
Cleveland,"396,815",52,"Ohio
","383,793",−3.28%
Bakersfield,"347,483",53,"California
","383,579",+10.39%
Aurora,"325,078",54,"Colorado
","374,114",+15.08%
Anaheim,"336,265",55,"California
","352,005",+4.68%
Honolulu,"337,256",56,Hawaii,"347,397",+3.01%
Santa Ana,"324,528",57,"California
","332,725",+2.53%
Riverside,"303,871",58,"California
","330,063",+8.62%
Corpus Christi,"305,215",59,"Texas
","326,554",+6.99%
Lexington,"295,803",60,"Kentucky
","323,780",+9.46%
Stockton,"291,707",61,"California
","311,178",+6.67%
